GO_Term,AUROC,From_Level,AUROC_difference,Ones,Zeros,Size,TL,Balance,Ontology,Frozen,LR,Data,Time
GO:0044238,0.6347,3,-0.0543,10691,10678,21369,1,0.9994,bp,0,0.0001,Aug,295.7202
GO:0048518,0.6732,3,0.0443,8599,8605,17204,1,0.9997,bp,0,0.0001,Aug,93.3291
GO:0050794,0.6434,3,-0.1129,14404,14351,28755,1,0.9982,bp,0,0.0001,Aug,390.8222
GO:0048519,0.6137,3,-0.0875,9382,9460,18842,1,0.9959,bp,0,0.0001,Aug,166.0268
GO:0048513,0.7368,3,-0.0214,3476,3470,6946,1,0.9991,bp,0,0.0001,Aug,36.0691
GO:0043412,0.7402,3,0.0201,4620,4662,9282,1,0.9955,bp,0,0.0001,Aug,38.5923
GO:0006139,0.703,3,-0.0477,6763,6771,13534,1,0.9994,bp,0,0.0001,Aug,42.0387
GO:0019538,0.7075,3,0.0135,6968,6901,13869,1,0.9952,bp,0,0.0001,Aug,103.8362
GO:0048522,0.6393,3,-0.0595,8094,8109,16203,1,0.9991,bp,0,0.0001,Aug,39.2883
GO:0019222,0.6602,3,-0.0511,7652,7635,15287,1,0.9989,bp,0,0.0001,Aug,73.089
GO:0048523,0.5869,3,-0.1462,8709,8664,17373,1,0.9974,bp,0,0.0001,Aug,295.1674
GO:0007423,0.7432,3,0.0322,2885,2918,5803,1,0.9943,bp,0,0.0001,Aug,28.8892
GO:0090304,0.736,3,0.009,4386,4392,8778,1,0.9993,bp,0,0.0001,Aug,27.6629
GO:0036211,0.7169,3,0.0312,4138,4118,8256,1,0.9976,bp,0,0.0001,Aug,106.8302
GO:0009893,0.6455,3,-0.0366,3992,4027,8019,1,0.9956,bp,0,0.0001,Aug,38.719
GO:0060255,0.6799,3,-0.0928,6878,6865,13743,1,0.9991,bp,0,0.0001,Aug,218.9103
GO:0009892,0.6241,3,-0.146,4460,4484,8944,1,0.9973,bp,0,0.0001,Aug,34.2348
GO:0006259,0.6605,3,-0.075,2612,2631,5243,1,0.9964,bp,0,0.0001,Aug,88.0132
GO:0016070,0.7213,3,-0.0055,2786,2759,5545,1,0.9951,bp,0,0.0001,Aug,19.5118
GO:0018193,0.6329,3,-0.1112,3097,3176,6273,1,0.9874,bp,0,0.0001,Aug,64.7751
GO:0010605,0.6679,3,-0.031,4094,4110,8204,1,0.998,bp,0,0.0001,Aug,101.3569
GO:0043412,0.7371,4,-0.0074,4620,4662,9282,1,0.9955,bp,0,0.0001,Aug,100.7724
GO:0006139,0.7117,4,0.0227,6763,6771,13534,1,0.9994,bp,0,0.0001,Aug,94.7466
GO:0019538,0.6332,4,0.0043,3738,3762,7500,1,0.9968,bp,0,0.0001,Aug,23.1513
GO:0048522,0.6841,4,-0.0722,8094,8109,16203,1,0.9991,bp,0,0.0001,Aug,70.6533
GO:0019222,0.6859,4,-0.0153,7652,7635,15287,1,0.9989,bp,0,0.0001,Aug,61.5597
GO:0048523,0.6647,4,-0.0935,5752,5719,11471,1,0.9971,bp,0,0.0001,Aug,23.6802
GO:0007423,0.747,4,0.0269,1406,1425,2831,1,0.9933,bp,0,0.0001,Aug,6.5624
GO:0090304,0.7439,4,-0.0068,5232,5269,10501,1,0.9965,bp,0,0.0001,Aug,69.8048
GO:0036211,0.7588,4,0.0648,2491,2473,4964,1,0.9964,bp,0,0.0001,Aug,18.7728
GO:0009893,0.6756,4,-0.0232,4691,4692,9383,1,0.9999,bp,0,0.0001,Aug,83.6762
GO:0060255,0.7149,4,0.0036,6878,6865,13743,1,0.9991,bp,0,0.0001,Aug,54.7414
GO:0009892,0.6357,4,-0.0974,4460,4484,8944,1,0.9973,bp,0,0.0001,Aug,59.0488
GO:0006259,0.7053,4,-0.0057,3083,3119,6202,1,0.9942,bp,0,0.0001,Aug,57.3457
GO:0016070,0.7435,4,0.0165,3301,3270,6571,1,0.9953,bp,0,0.0001,Aug,24.855
GO:0018193,0.6454,4,-0.0403,1898,1889,3787,1,0.9976,bp,0,0.0001,Aug,9.5479
GO:0010605,0.6531,4,-0.029,4101,4119,8220,1,0.9978,bp,0,0.0001,Aug,79.303
GO:0036211,0.7756,5,0.0311,2491,2473,4964,1,0.9964,bp,0,0.0001,Aug,23.7851
GO:0090304,0.754,5,0.065,3057,3030,6087,1,0.9956,bp,0,0.0001,Aug,24.8372
GO:0009893,0.6775,5,0.0486,3634,3634,7268,1,1,bp,0,0.0001,Aug,15.0141
GO:0060255,0.7147,5,-0.0416,6878,6865,13743,1,0.9991,bp,0,0.0001,Aug,59.2544
GO:0009892,0.6645,5,-0.0367,4460,4484,8944,1,0.9973,bp,0,0.0001,Aug,41.7874
GO:0018193,0.7143,5,-0.0439,1898,1889,3787,1,0.9976,bp,0,0.0001,Aug,8.2843
GO:0006259,0.6252,5,-0.0949,1815,1815,3630,1,1,bp,0,0.0001,Aug,7.9829
GO:0016070,0.7138,5,-0.0369,1941,1896,3837,1,0.9883,bp,0,0.0001,Aug,8.3213
GO:0010605,0.6772,5,-0.0168,4123,4115,8238,1,0.999,bp,0,0.0001,Aug,73.9427
GO:0018193,0.6571,6,-0.0874,1898,1889,3787,1,0.9976,bp,0,0.0001,Aug,20.878
GO:0006259,0.6783,6,-0.0107,1815,1815,3630,1,1,bp,0,0.0001,Aug,7.9502
GO:0016070,0.7446,6,0.1157,1941,1896,3837,1,0.9883,bp,0,0.0001,Aug,12.2775
GO:0010605,0.588,6,-0.1683,3942,3965,7907,1,0.9971,bp,0,0.0001,Aug,47.2613
GO:0008152,0.7137,2,-0.0135,14287,14216,28503,1,0.9975,bp,0,0.0001,Aug,290.4829
GO:0050789,0.6789,2,-0.0194,16070,16110,32180,1,0.9988,bp,0,0.0001,Aug,330.315
GO:0048856,0.6732,2,0.0707,5209,5220,10429,1,0.9989,bp,0,0.0001,Aug,24.7484
GO:0043170,0.6602,2,-0.0771,7750,7721,15471,1,0.9981,bp,0,0.0001,Aug,97.2272
GO:0044238,0.6361,2,-0.0524,11295,11203,22498,1,0.9959,bp,0,0.0001,Aug,82.4248
